metric_name,accepted,rejected,total_candidates,currency_in_nonmeasure,free_text,out_of_range,unparseable
runway_months,59,31,90,23,1,6,1
fte_count,137,19,156,2,13,3,1
valuation,5,15,20,0,8,0,7
funding_total,121,8,129,0,7,0,1
beneficiaries_reached,130,7,137,0,6,0,1
customer_count,83,4,87,0,4,0,0
pct_women_reached,49,4,53,0,2,1,1
monthly_revenue,115,4,119,0,4,0,0
livelihoods_improved,8,2,10,0,0,0,2
wash_access_improved,8,2,10,0,0,0,2
health_hygiene_societal,29,1,30,0,0,0,1
health_hygiene_informed,54,1,55,0,1,0,0
health_hygiene_outcomes,30,1,31,0,1,0,0
business_perf_rating,112,0,112,0,0,0,0
confidence_rating,50,0,50,0,0,0,0
ebitda,16,0,16,0,0,0,0
jobs_created,26,0,26,0,0,0,0
health_hygiene_impact,52,0,52,0,0,0,0
health_hygiene_engaged,50,0,50,0,0,0,0
monthly_expenses,39,0,39,0,0,0,0
net_profit,16,0,16,0,0,0,0
nps_recommend,34,0,34,0,0,0,0
revenue_actuals,16,0,16,0,0,0,0
