canonical_org_id,org_name,n_variants,raw_name_variants,email_domain
org_001,CleanPath Africa,1,CleanPath Africa,
org_002,ClearWave Africa,1,ClearWave Africa,
org_003,PureCircle Innovations,1,PureCircle Innovations,
org_004,EverGreen Access,1,EverGreen Access,
org_005,ThriveWater Group,1,ThriveWater Group,
org_006,FreshStart Enterprises,1,FreshStart Enterprises,
org_007,HydroGuard Solutions,1,HydroGuard Solutions,
org_008,EcoPulse Technologies,1,EcoPulse Technologies,
org_009,CrystalFlow Systems,1,CrystalFlow Systems,
org_010,VitalWave Systems,1,VitalWave Systems,
org_011,GreenWave Enterprises,1,GreenWave Enterprises,
org_012,VitalBridge Group,1,VitalBridge Group,
org_013,WellSpring Technologies,1,WellSpring Technologies,
org_014,NovaWell Technologies,1,NovaWell Technologies,
org_015,BrightWell Solutions,1,BrightWell Solutions,
org_016,AquaBright Solutions,1,AquaBright Solutions,
org_017,SafeStream Technologies,1,SafeStream Technologies,
org_018,BlueRoot Africa,1,BlueRoot Africa,
org_019,Nkemdirim Obasi,1,Nkemdirim Obasi,
org_020,Renata Alves,1,Renata Alves,
org_021,Daniel Osei,1,Daniel Osei,
org_022,Uche Eze,1,Uche Eze,
org_023,Musa Garba,1,Musa Garba,
org_024,EarthGuard Solutions,1,EarthGuard Solutions,earthguardsolutions.org
org_025,BlueHorizon Water,1,BlueHorizon Water,bluehorizonwater.org
org_026,LifeSpring Innovations,1,LifeSpring Innovations,lifespringinnovations.org
org_027,SunWell Africa,1,SunWell Africa,sunwellafrica.org
org_028,TrueNorth Impact,1,TrueNorth Impact,truenorthimpact.org
org_029,BrightSpring Health,1,BrightSpring Health,brightspringhealth.org
org_030,AquaVantage Group,1,AquaVantage Group,aquavantagegroup.org
org_031,FreshWave Solutions,1,FreshWave Solutions,freshwavesolutions.org
org_032,BrightPath Solutions,1,BrightPath Solutions,brightpathsolutions.org
org_033,PureSource Africa,1,PureSource Africa,puresourceafrica.org
org_034,HopeWell Initiative,1,HopeWell Initiative,hopewellinitiative.org
org_035,EcoSprout Enterprises,1,EcoSprout Enterprises,ecosproutenterprises.org
org_036,RootedGood Enterprises,1,RootedGood Enterprises,rootedgoodenterprises.org
org_037,RiverStone Initiative,1,RiverStone Initiative,riverstoneinitiative.org
org_038,SolarBridge Technologies,1,SolarBridge Technologies,solarbridgetechnologies.org
org_039,GreenLeaf Ventures,1,GreenLeaf Ventures,greenleafventures.org
org_040,RiverLight Group,1,RiverLight Group,riverlightgroup.org
org_041,PureFlow Innovations,1,PureFlow Innovations,pureflowinnovations.org
org_042,HydroHarvest Collective,1,HydroHarvest Collective,hydroharvestcollective.org
org_043,SunRise Impact Group,1,SunRise Impact Group,sunriseimpactgroup.org
org_044,SafePath Technologies,1,SafePath Technologies,safepathtechnologies.org
org_045,GreenTide Innovations,1,GreenTide Innovations,greentideinnovations.org
org_046,NewLeaf Impact Group,1,NewLeaf Impact Group,newleafimpactgroup.org
org_047,AquaLift Africa,1,AquaLift Africa,aqualiftafrica.org
org_048,TerraLift Solutions,1,TerraLift Solutions,terraliftsolutions.org
org_049,SafeHands Health Network,1,SafeHands Health Network,safehandshealthnetwork.org
org_050,NovaCare Foundation,1,NovaCare Foundation,novacarefoundation.org
org_051,CleanSource Africa,1,CleanSource Africa,cleansourceafrica.org
org_052,WellFound Enterprises,1,WellFound Enterprises,
org_053,TerraNova Water Group,1,TerraNova Water Group,
org_054,EcoBridge Innovations,1,EcoBridge Innovations,
org_055,VitalGround Africa,1,VitalGround Africa,
org_056,Meadowlight Ventures,1,Meadowlight Ventures,
org_057,Novaterra Solutions,1,Novaterra Solutions,
org_058,Brightfield Enterprises,1,Brightfield Enterprises,
org_059,Solace Health Group,1,Solace Health Group,
org_060,Argent Water Technologies,1,Argent Water Technologies,
org_061,Vireo Health Systems,1,Vireo Health Systems,
org_062,Palmbrook Innovations,1,Palmbrook Innovations,
org_063,Ashgrove Solutions,1,Ashgrove Solutions,
org_064,Larkspur Health Network,1,Larkspur Health Network,
org_065,Windmere Technologies,1,Windmere Technologies,
org_066,Copperleaf Health Group,1,Copperleaf Health Group,
org_067,Fernhill Innovations,1,Fernhill Innovations,
