source_file,metrics,records
AP3_April_2025_Midline.csv,12,125
AP1and2_April_25.csv,12,130
AP_April_2025_extra_data.csv,12,56
AP1_Endline_April_24_SA.csv,11,66
AP4_2025_2026_Baseline_Survey.csv,10,167
AP4_May_2026_Midline.csv,9,164
AP1_April_23_Org_Performance_SA.csv,8,85
AP2_March_2024.csv,7,66
AP2_October_2024.csv,7,40
AP1_October_2023_SA.csv,5,66
AP2_Baseline_October_2023.csv,5,18
AP1_October_2023_BRA.csv,4,60
IMM_Assessment_October_2025.csv,4,108
AP1_June_2024_BRA.csv,4,24
AP1_April_2025_Short_Beneficiary_Survey.csv,2,8
AP1_April_2023_SA__Knowledge___Behaviour.csv,2,26
AP1_October_2024_SA_BR.csv,2,22
AP3_Baseline_October_2024.csv,1,8
